                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.274,                 6.0126,                 1.1962,                      0,                      0,                      0,                      0,                 1.1454,                 5.9378,                 1.0948,                  4e-05,                  4e-05,                  4e-05
                      2,                 1.3321,                 6.0001,                 1.1993,                0.01053,                0.04762,                0.00553,                0.00498,                 1.0084,                 5.6123,                 1.0185,             8.8218e-05,             8.8218e-05,             8.8218e-05
                      3,                 1.1239,                 5.2993,                 1.0193,                0.00926,                0.04762,                0.00488,                0.00439,                0.87944,                 5.3246,                0.95226,             0.00013446,             0.00013446,             0.00013446
                      4,                0.97939,                 4.4086,                0.98721,                0.01176,                0.09524,                0.02491,                0.01993,                0.97078,                 5.1559,                0.91917,             0.00017871,             0.00017871,             0.00017871
                      5,                 1.0355,                 3.6727,                0.97533,                0.01597,                 0.2381,                0.12238,                0.08965,                0.99791,                 4.9956,                0.95512,             0.00022099,             0.00022099,             0.00022099
                      6,                 1.0165,                 2.9961,                0.94949,                0.02247,                0.38095,                0.30051,                0.17559,                 1.0764,                 4.6956,                 1.0072,             0.00026129,             0.00026129,             0.00026129
                      7,                 1.0323,                 2.8628,                0.92708,                0.03171,                0.71429,                0.48766,                0.34993,                 1.0169,                 4.5352,                0.96737,             0.00029961,             0.00029961,             0.00029961
                      8,                 1.0729,                 2.6899,                0.92234,                0.02496,                0.71429,                0.53077,                0.33238,                 1.1498,                 4.5535,                 1.0156,             0.00033595,             0.00033595,             0.00033595
                      9,                 1.0372,                 2.6446,                0.90141,                0.01849,                0.66667,                0.55801,                0.35836,                 1.1162,                 4.4283,                 1.0168,              0.0003703,              0.0003703,              0.0003703
                     10,                0.95091,                  2.073,                0.89238,                0.02241,                 0.7619,                0.63757,                0.44322,                 1.0876,                 4.3595,                0.97833,             0.00040268,             0.00040268,             0.00040268
                     11,                0.97985,                 2.2671,                0.94003,                 0.0149,                0.42857,                0.36931,                0.27369,                 1.0109,                 4.5687,                0.98381,             0.00043308,             0.00043308,             0.00043308
                     12,                0.88287,                 1.9411,                0.91353,                0.02257,                0.47619,                0.35494,                 0.2422,                 1.0902,                 4.5469,                 1.0108,              0.0004615,              0.0004615,              0.0004615
                     13,                0.91148,                 1.8189,                    0.9,                0.70336,                0.33921,                0.38199,                0.25763,                 1.0557,                 4.4569,                 1.0034,             0.00048794,             0.00048794,             0.00048794
                     14,                0.93896,                  2.234,                0.92299,                      1,                0.14169,                0.51236,                0.37905,                0.92829,                 4.2658,                0.98705,             0.00051239,             0.00051239,             0.00051239
                     15,                0.91233,                 2.0147,                0.90364,                0.98579,                0.14286,                0.49444,                0.36134,                0.98458,                 4.1954,                0.99112,             0.00053487,             0.00053487,             0.00053487
                     16,                0.89594,                 1.9243,                0.91059,                0.82717,                0.14286,                 0.5964,                0.43929,                 1.0194,                 4.0159,                0.99836,             0.00055537,             0.00055537,             0.00055537
                     17,                0.85655,                 1.8251,                0.89806,                      1,                0.32352,                0.77739,                0.56714,                 1.0537,                 3.4391,                 1.0153,             0.00057389,             0.00057389,             0.00057389
                     18,                0.84095,                  1.665,                0.89558,                 0.9015,                0.33333,                 0.8252,                0.59913,                 1.0083,                 3.2612,                0.99582,             0.00059043,             0.00059043,             0.00059043
                     19,                0.80813,                 1.7168,                0.89183,                 0.7335,                 0.2381,                0.81758,                0.60551,                0.94961,                 3.1568,                0.94024,             0.00060498,             0.00060498,             0.00060498
                     20,                 0.8321,                 1.8117,                0.89069,                 0.7033,                0.45239,                0.80322,                 0.6157,                0.97665,                 2.7576,                0.94756,             0.00061756,             0.00061756,             0.00061756
