                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1881,                  4.487,                 1.0312,                0.03849,                0.81437,                0.57108,                0.35394,                 1.1214,                 4.4623,                0.92922,               0.000325,               0.000325,               0.000325
                      2,                 1.0704,                 2.3302,                0.94204,                 0.8865,                0.52695,                0.78064,                0.48417,                 1.1119,                 3.5359,                0.92842,              0.0006453,              0.0006453,              0.0006453
                      3,                 1.0475,                 2.0258,                0.96836,                0.86343,                0.83285,                0.88159,                0.65023,                 1.0049,                 1.7779,                0.98516,              0.0009524,              0.0009524,              0.0009524
                      4,                 1.0531,                 1.7902,                0.97178,                0.88112,                0.83234,                0.92373,                0.67331,                0.96617,                 1.3591,                0.96777,              0.0009406,              0.0009406,              0.0009406
                      5,                 1.0117,                 1.5237,                0.96609,                0.83231,                0.89222,                0.92002,                0.69887,                 0.8974,                 1.0131,                0.94579,              0.0009208,              0.0009208,              0.0009208
                      6,                0.98638,                 1.3102,                0.96651,                0.87987,                0.91018,                0.95559,                0.70401,                0.90888,                0.90768,                0.94947,               0.000901,               0.000901,               0.000901
                      7,                0.96319,                 1.1664,                0.95417,                0.90576,                0.86329,                0.94603,                0.69903,                0.90497,                  0.877,                0.94733,              0.0008812,              0.0008812,              0.0008812
                      8,                0.99995,                 1.1292,                 0.9577,                0.90584,                0.86826,                0.95604,                0.70874,                0.93054,                0.86707,                0.95474,              0.0008614,              0.0008614,              0.0008614
                      9,                0.94991,                 1.0125,                 0.9407,                0.87186,                0.91018,                0.94558,                0.71136,                0.89875,                0.73021,                0.94095,              0.0008416,              0.0008416,              0.0008416
                     10,                0.91822,                0.94179,                0.92776,                0.84917,                0.91027,                0.93764,                0.70578,                0.89604,                0.68939,                0.94397,              0.0008218,              0.0008218,              0.0008218
                     11,                0.91591,                0.89114,                0.92953,                0.93769,                0.90111,                0.97004,                0.74704,                0.86405,                0.61921,                0.93977,               0.000802,               0.000802,               0.000802
                     12,                0.90661,                0.86709,                0.93547,                0.92141,                0.91266,                0.96663,                0.73958,                0.87547,                0.60911,                0.93686,              0.0007822,              0.0007822,              0.0007822
