                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2025,                 4.4076,                 1.0184,                0.03689,                0.72396,                0.46391,                 0.3134,                 1.0399,                  4.439,                0.91178,             0.00032593,             0.00032593,             0.00032593
                      2,                 1.0746,                 2.2996,                 0.9528,                0.89578,                0.22383,                0.80843,                0.57433,                0.99214,                 3.1079,                0.93812,             0.00064621,             0.00064621,             0.00064621
                      3,                 1.0161,                 1.7968,                0.93754,                0.96648,                0.60077,                0.83775,                 0.5791,                 1.0425,                   2.46,                 0.9554,             0.00095329,             0.00095329,             0.00095329
                      4,                0.99967,                 1.6047,                0.92839,                  0.848,                0.87169,                0.90595,                0.65604,                0.99518,                 1.1896,                 0.9582,              0.0009406,              0.0009406,              0.0009406
                      5,                0.99781,                 1.3906,                0.95481,                0.91351,                0.86979,                   0.92,                0.65209,                 1.0108,                 1.0092,                0.98689,              0.0009208,              0.0009208,              0.0009208
                      6,                0.96579,                 1.2538,                0.92633,                0.86913,                  0.875,                0.90884,                0.64935,                 0.9937,                 1.0052,                0.99136,               0.000901,               0.000901,               0.000901
                      7,                0.96933,                 1.1699,                0.93142,                0.85028,                0.86979,                0.89339,                0.65216,                0.92969,                0.94976,                0.95863,              0.0008812,              0.0008812,              0.0008812
                      8,                0.93712,                  1.048,                0.92988,                0.86903,                0.88542,                0.92145,                0.68209,                0.95821,                0.84835,                0.96952,              0.0008614,              0.0008614,              0.0008614
                      9,                0.93021,                0.98306,                0.92471,                0.91018,                 0.8445,                0.91943,                 0.6787,                0.97549,                0.80007,                0.96788,              0.0008416,              0.0008416,              0.0008416
                     10,                0.94977,                0.93051,                0.93484,                0.90473,                0.88542,                0.92834,                0.68024,                 0.9941,                0.81408,                0.96999,              0.0008218,              0.0008218,              0.0008218
                     11,                0.95905,                0.90327,                0.92228,                 0.8962,                0.90104,                0.92503,                0.68611,                0.93599,                0.69879,                0.95257,               0.000802,               0.000802,               0.000802
                     12,                0.89454,                0.80114,                0.92005,                0.91512,                0.91667,                0.94326,                0.69863,                 0.9377,                0.64978,                0.95772,              0.0007822,              0.0007822,              0.0007822
                     13,                0.91198,                0.79877,                0.92243,                0.90537,                0.92188,                0.94828,                0.70882,                0.91592,                0.63889,                0.96144,              0.0007624,              0.0007624,              0.0007624
                     14,                0.89515,                0.76394,                0.92194,                0.90733,                0.86458,                0.93961,                0.69595,                0.96209,                0.71446,                0.96459,              0.0007426,              0.0007426,              0.0007426
                     15,                0.91334,                0.74381,                0.91961,                0.85833,                0.91509,                0.93237,                0.68839,                0.91554,                 0.6738,                 0.9597,              0.0007228,              0.0007228,              0.0007228
                     16,                0.87024,                0.70508,                0.90379,                0.91339,                0.91146,                0.94818,                0.69229,                0.92852,                0.60379,                 0.9537,               0.000703,               0.000703,               0.000703
                     17,                0.86645,                0.67019,                0.91014,                0.94807,                0.85587,                0.94289,                0.69357,                0.93406,                0.63928,                0.96868,              0.0006832,              0.0006832,              0.0006832
                     18,                0.84421,                0.64541,                 0.9015,                 0.9225,                0.86799,                0.93073,                0.68171,                0.96021,                0.62056,                0.97705,              0.0006634,              0.0006634,              0.0006634
                     19,                0.85106,                0.64501,                0.89713,                0.93284,                0.88542,                0.94144,                0.70584,                0.88879,                0.59445,                0.95334,              0.0006436,              0.0006436,              0.0006436
