                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1715,                 4.3812,                 1.0203,                0.06472,                0.76498,                0.65266,                0.44813,                0.98568,                 4.4126,                 0.9154,             0.00032667,             0.00032667,             0.00032667
                      2,                  1.071,                 2.1824,                0.96216,                0.98335,                 0.5444,                0.88652,                0.64816,                0.97972,                 3.1839,                0.99614,             0.00064693,             0.00064693,             0.00064693
                      3,                 1.0388,                 1.9086,                0.95712,                0.91729,                0.81777,                0.91827,                0.65197,                 1.0068,                 1.4254,                0.97828,               0.000954,               0.000954,               0.000954
                      4,                0.99915,                 1.6186,                0.94612,                0.87193,                0.87849,                0.90836,                0.64716,                0.95941,                 1.1906,                0.97111,              0.0009406,              0.0009406,              0.0009406
                      5,                 1.0059,                 1.4139,                0.96564,                0.86613,                0.83486,                0.91488,                0.67087,                0.94369,                 1.1638,                 1.0123,              0.0009208,              0.0009208,              0.0009208
                      6,                0.95673,                 1.1825,                0.94864,                0.87795,                0.84332,                0.91153,                0.65948,                0.93037,                0.94986,                0.98085,               0.000901,               0.000901,               0.000901
                      7,                0.96367,                 1.1295,                0.94926,                0.93456,                0.85714,                0.95027,                0.70643,                0.89059,                0.80813,                0.96323,              0.0008812,              0.0008812,              0.0008812
                      8,                0.93061,                 0.9627,                0.92598,                0.95666,                0.86636,                0.95422,                0.69917,                0.88736,                0.66497,                0.95762,              0.0008614,              0.0008614,              0.0008614
                      9,                 0.9427,                0.94325,                0.93848,                0.90905,                0.91244,                0.95007,                 0.6995,                0.89298,                0.63933,                0.97101,              0.0008416,              0.0008416,              0.0008416
                     10,                 0.9474,                0.88805,                0.93861,                0.92602,                0.88018,                0.95656,                0.70532,                 0.8818,                0.64674,                0.97588,              0.0008218,              0.0008218,              0.0008218
                     11,                0.93252,                0.85129,                0.94013,                0.90171,                 0.8878,                0.94714,                0.71605,                0.85942,                0.65959,                0.95548,               0.000802,               0.000802,               0.000802
                     12,                0.91549,                0.79578,                0.93922,                0.89051,                0.86202,                0.94189,                0.69422,                0.91443,                0.66008,                0.98014,              0.0007822,              0.0007822,              0.0007822
                     13,                0.91669,                0.77247,                 0.9207,                0.92827,                0.88018,                0.94567,                0.69048,                0.87344,                0.60846,                0.97093,              0.0007624,              0.0007624,              0.0007624
                     14,                0.92785,                0.73664,                0.92566,                0.94623,                0.89401,                0.95715,                0.72254,                0.85022,                0.62919,                0.97641,              0.0007426,              0.0007426,              0.0007426
