                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2619,                 5.6788,                 1.0745,                0.00139,                 0.0122,                0.00071,                0.00064,                0.93682,                 5.1334,                0.89271,                0.00019,                0.00019,                0.00019
                      2,                 1.1406,                 3.4044,                 0.9629,                0.08966,                0.79268,                0.62304,                0.44491,                 1.0139,                 4.4169,                0.91368,             0.00038228,             0.00038228,             0.00038228
                      3,                 1.0799,                 2.4537,                0.92687,                0.05732,                0.68293,                0.58912,                0.44219,                0.92519,                 4.1557,                0.92098,             0.00056664,             0.00056664,             0.00056664
                      4,                 1.0419,                 2.1827,                0.96013,                0.07051,                0.73171,                0.69479,                0.49845,                 1.0132,                 3.9303,                0.97126,             0.00074307,             0.00074307,             0.00074307
                      5,                 1.0185,                 1.8608,                0.92762,                0.97069,                0.53659,                0.85084,                0.60879,                 1.0308,                 2.5505,                0.97808,             0.00091159,             0.00091159,             0.00091159
                      6,                 1.0389,                 1.7994,                0.94098,                0.88418,                0.74484,                0.90869,                0.64693,                 1.0459,                 1.8106,                0.96804,               0.000901,               0.000901,               0.000901
                      7,                 1.0023,                 1.6968,                 0.9538,                0.85418,                0.80488,                0.84886,                0.61242,                 1.0122,                 1.4813,                0.95459,              0.0008812,              0.0008812,              0.0008812
                      8,                0.94615,                 1.6259,                 0.9513,                0.81781,                0.76637,                0.82739,                0.61059,                0.98557,                 1.4776,                0.94319,              0.0008614,              0.0008614,              0.0008614
                      9,                0.97784,                 1.5715,                0.91325,                0.72965,                0.81707,                0.86583,                0.61867,                0.99841,                 1.2615,                 0.9555,              0.0008416,              0.0008416,              0.0008416
                     10,                0.93365,                 1.3802,                 0.9249,                0.86037,                0.90244,                 0.9333,                0.66106,                0.98104,                 1.0337,                0.95868,              0.0008218,              0.0008218,              0.0008218
                     11,                0.89112,                 1.2924,                0.92792,                0.93195,                0.83505,                0.93724,                0.69949,                0.92532,                 1.1766,                0.93465,               0.000802,               0.000802,               0.000802
                     12,                0.94194,                 1.3009,                0.91217,                0.94355,                0.81538,                0.93818,                0.69006,                0.94658,                 1.2795,                0.93132,              0.0007822,              0.0007822,              0.0007822
                     13,                0.89518,                 1.1745,                0.91166,                0.88156,                0.84146,                0.92507,                0.68942,                0.90614,                0.98131,                0.92451,              0.0007624,              0.0007624,              0.0007624
                     14,                0.87345,                 1.1452,                0.89851,                0.86181,                0.91266,                0.93597,                0.69671,                0.92763,                0.93842,                0.93646,              0.0007426,              0.0007426,              0.0007426
                     15,                0.89656,                 1.1391,                0.92127,                0.89236,                0.89024,                0.94908,                0.69589,                0.94852,                0.92126,                0.94823,              0.0007228,              0.0007228,              0.0007228
                     16,                0.86265,                 1.0264,                0.91485,                0.90223,                0.90034,                0.95263,                0.73064,                0.89375,                0.86909,                0.94142,               0.000703,               0.000703,               0.000703
                     17,                0.90106,                 1.0601,                0.91185,                0.89442,                 0.9298,                0.95272,                0.70343,                0.90003,                0.83725,                0.94121,              0.0006832,              0.0006832,              0.0006832
                     18,                0.85177,                0.98908,                0.90068,                0.92298,                0.87805,                  0.943,                0.69052,                0.95269,                0.77959,                0.97081,              0.0006634,              0.0006634,              0.0006634
                     19,                0.89251,                0.97956,                0.91502,                0.96022,                0.88313,                0.96085,                0.69554,                0.93846,                0.77399,                0.95277,              0.0006436,              0.0006436,              0.0006436
                     20,                0.86094,                0.93766,                 0.9078,                0.97322,                0.88651,                0.95668,                0.68846,                0.95644,                0.74622,                0.95205,              0.0006238,              0.0006238,              0.0006238
                     21,                0.88051,                0.93128,                0.88546,                0.91072,                0.89024,                0.94871,                0.67096,                 0.9986,                0.73455,                  0.964,               0.000604,               0.000604,               0.000604
                     22,                0.91703,                0.90406,                0.91009,                 0.9337,                 0.8588,                0.94519,                0.66814,                0.96421,                0.69632,                0.95903,              0.0005842,              0.0005842,              0.0005842
                     23,                0.89505,                0.87786,                0.90382,                0.90437,                0.92683,                 0.9571,                0.71701,                0.91872,                0.62715,                0.94085,              0.0005644,              0.0005644,              0.0005644
                     24,                0.81783,                0.81357,                0.88451,                0.94953,                0.90244,                0.95501,                0.70114,                 0.9591,                0.62512,                0.95389,              0.0005446,              0.0005446,              0.0005446
                     25,                 0.8399,                0.84388,                0.88618,                0.94799,                0.91463,                0.94846,                0.70472,                0.94874,                0.59345,                0.95172,              0.0005248,              0.0005248,              0.0005248
                     26,                0.77753,                   0.77,                 0.8797,                0.92589,                0.91463,                0.95152,                0.69743,                0.92465,                0.58363,                0.94961,               0.000505,               0.000505,               0.000505
                     27,                0.77213,                0.73426,                0.87823,                0.93604,                0.91463,                0.95528,                0.70473,                 0.9093,                 0.5594,                 0.9456,              0.0004852,              0.0004852,              0.0004852
                     28,                0.75745,                0.70239,                0.88172,                0.94793,                0.88799,                0.95172,                0.71561,                0.90374,                0.56948,                0.93755,              0.0004654,              0.0004654,              0.0004654
                     29,                 0.7478,                0.68812,                 0.8707,                0.93669,                0.90215,                0.94378,                0.71102,                0.88712,                0.60435,                0.93253,              0.0004456,              0.0004456,              0.0004456
                     30,                0.75695,                0.68706,                 0.8851,                0.92492,                0.92683,                0.95523,                0.71072,                0.86677,                0.58803,                0.92937,              0.0004258,              0.0004258,              0.0004258
                     31,                0.77052,                0.71745,                0.87729,                0.93486,                0.87509,                0.95527,                0.72846,                0.84734,                0.60799,                 0.9244,               0.000406,               0.000406,               0.000406
                     32,                 0.7054,                0.68874,                0.86484,                0.91322,                0.90244,                0.95687,                0.70768,                0.89761,                0.56872,                0.93982,              0.0003862,              0.0003862,              0.0003862
                     33,                0.78079,                0.71584,                0.87204,                0.92602,                0.91586,                0.96034,                0.71108,                0.91174,                0.56349,                 0.9389,              0.0003664,              0.0003664,              0.0003664
                     34,                0.76088,                0.67579,                0.86583,                0.93699,                0.90671,                0.96323,                0.72991,                0.86942,                 0.5436,                0.91958,              0.0003466,              0.0003466,              0.0003466
                     35,                0.74549,                0.63825,                0.86249,                 0.9669,                0.90244,                 0.9684,                0.72594,                0.89929,                0.55165,                0.93374,              0.0003268,              0.0003268,              0.0003268
                     36,                0.71702,                 0.6192,                0.86295,                0.92823,                0.94644,                0.96623,                0.71646,                0.87177,                 0.5357,                0.92782,               0.000307,               0.000307,               0.000307
                     37,                0.75424,                0.64793,                0.86799,                0.96576,                0.89024,                0.96893,                0.74164,                0.87167,                0.52825,                0.92993,              0.0002872,              0.0002872,              0.0002872
