                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2373,                 5.1872,                 1.0524,                0.02569,                0.59259,                0.29124,                0.19476,                 1.0316,                 4.7935,                0.89617,                0.00024,                0.00024,                0.00024
                      2,                 1.0694,                 2.9981,                0.93602,                0.03479,                0.71296,                0.62844,                0.44921,                0.97678,                 4.3664,                0.90022,              0.0004803,              0.0004803,              0.0004803
                      3,                 1.0228,                 2.3496,                0.94044,                 0.5764,                0.82407,                0.78852,                0.53825,                 1.0809,                 3.6139,                0.94483,              0.0007107,              0.0007107,              0.0007107
                      4,                 1.0971,                 2.1154,                0.96977,                0.81835,                0.50057,                0.68358,                0.45173,                 1.0979,                 2.9863,                0.97646,             0.00093119,             0.00093119,             0.00093119
                      5,                 1.0592,                 1.9489,                0.97084,                0.84438,                0.67593,                0.82035,                0.52187,                 1.2085,                 2.4834,                 1.0014,              0.0009208,              0.0009208,              0.0009208
                      6,                 1.0297,                 1.7842,                0.95872,                0.94528,                0.79971,                0.90751,                0.62411,                 1.0225,                 1.2096,                 0.9697,               0.000901,               0.000901,               0.000901
                      7,                  0.975,                 1.5656,                0.95374,                0.83868,                0.81833,                0.86092,                0.61174,                0.99032,                  1.169,                 0.9425,              0.0008812,              0.0008812,              0.0008812
                      8,                0.96218,                 1.4355,                 0.9318,                0.84544,                 0.7963,                0.87872,                0.62029,                 1.0261,                 1.1579,                0.97655,              0.0008614,              0.0008614,              0.0008614
                      9,                0.97955,                 1.3846,                0.91837,                0.93061,                0.84259,                0.92281,                0.64768,                 1.0119,                0.95584,                0.96266,              0.0008416,              0.0008416,              0.0008416
                     10,                 0.9116,                 1.2294,                0.91158,                0.85297,                0.89815,                0.93186,                0.68566,                0.95569,                0.93565,                0.95183,              0.0008218,              0.0008218,              0.0008218
                     11,                 0.9158,                 1.2469,                0.91281,                0.87422,                0.89815,                0.93534,                 0.6722,                 1.0076,                0.91553,                0.98343,               0.000802,               0.000802,               0.000802
                     12,                0.92661,                 1.1526,                  0.929,                0.88482,                0.85354,                0.92317,                0.64277,                0.99386,                 1.0109,                0.96063,              0.0007822,              0.0007822,              0.0007822
