                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.81374,                0.58924,                0.89359,                0.85928,                0.72543,                0.82818,                0.63553,                0.86844,                0.64646,                0.92824,              0.0006535,              0.0006535,              0.0006535
                     37,                0.82741,                0.61891,                0.89885,                0.78282,                0.83035,                0.83753,                0.64498,                0.87728,                0.63782,                0.92405,              0.0006436,              0.0006436,              0.0006436
                     38,                 0.8024,                0.57912,                0.89115,                0.77805,                 0.7472,                0.82417,                0.62772,                0.85658,                0.64997,                0.92075,              0.0006337,              0.0006337,              0.0006337
                     39,                0.78934,                0.57843,                0.88387,                 0.7339,                0.84161,                0.83599,                0.64983,                0.85003,                0.62349,                0.92191,              0.0006238,              0.0006238,              0.0006238
                     40,                0.79129,                0.58499,                0.89471,                0.79247,                0.72268,                0.80148,                0.60774,                0.88583,                0.67475,                0.93367,              0.0006139,              0.0006139,              0.0006139
                     41,                0.77622,                0.54984,                0.88671,                0.76433,                0.77611,                0.80851,                0.61993,                0.86391,                0.63613,                0.92309,               0.000604,               0.000604,               0.000604
                     42,                0.78723,                0.56116,                0.88917,                0.80133,                0.78705,                0.83539,                0.63385,                0.87281,                  0.676,                0.91838,              0.0005941,              0.0005941,              0.0005941
                     43,                0.79046,                0.60153,                0.87864,                0.75091,                 0.8412,                0.85765,                0.67026,                0.83597,                0.63201,                0.90922,              0.0005842,              0.0005842,              0.0005842
                     44,                 0.7905,                0.59207,                0.88415,                0.82235,                0.81711,                0.85469,                0.67527,                0.84839,                0.60351,                0.91258,              0.0005743,              0.0005743,              0.0005743
                     45,                0.78093,                0.56535,                  0.879,                0.89083,                0.80221,                0.88314,                0.70377,                0.85169,                0.60819,                0.91655,              0.0005644,              0.0005644,              0.0005644
                     46,                0.78976,                0.54019,                0.88561,                 0.8064,                0.81623,                0.88469,                0.70442,                 0.8561,                0.59833,                0.91296,              0.0005545,              0.0005545,              0.0005545
