                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1771,                 4.9654,                 1.0269,                 0.1296,                  0.592,                 0.5675,                0.38675,                 1.1427,                 4.7217,                0.91348,                0.00029,                0.00029,                0.00029
                      2,                 1.1109,                 2.6295,                0.94479,                0.02619,                  0.736,                 0.5117,                0.35966,                0.93192,                 4.2305,                0.87993,             0.00057832,             0.00057832,             0.00057832
                      3,                 1.0463,                 2.0907,                0.94663,                      1,                0.15174,                 0.6375,                 0.4806,                0.94364,                 3.6997,                0.91915,             0.00085476,             0.00085476,             0.00085476
                      4,                 1.0361,                 2.0398,                0.96957,                0.87345,                0.77304,                0.87421,                0.63855,                0.93624,                 1.8455,                0.92869,              0.0009406,              0.0009406,              0.0009406
                      5,                 1.0241,                  1.853,                0.95622,                0.87998,                0.82119,                 0.9265,                0.67231,                0.96878,                 1.2855,                0.92354,              0.0009208,              0.0009208,              0.0009208
                      6,                 1.0389,                 1.6836,                0.96694,                0.84361,                  0.856,                0.92122,                0.71056,                0.86108,                 1.1782,                0.89649,               0.000901,               0.000901,               0.000901
                      7,                 0.9954,                 1.4155,                0.93655,                0.91535,                  0.904,                0.95604,                0.70777,                0.91291,                 1.0161,                0.92096,              0.0008812,              0.0008812,              0.0008812
                      8,                 0.9977,                 1.3568,                 0.9303,                0.91721,                  0.896,                0.94592,                0.71841,                0.89862,                 1.0501,                0.90877,              0.0008614,              0.0008614,              0.0008614
                      9,                0.98879,                 1.2723,                 0.9446,                0.92121,                  0.944,                0.97281,                0.72964,                 0.8863,                0.87849,                0.90069,              0.0008416,              0.0008416,              0.0008416
                     10,                 0.9746,                 1.1926,                0.93498,                0.96037,                  0.904,                 0.9799,                0.73425,                0.88846,                0.81689,                0.89015,              0.0008218,              0.0008218,              0.0008218
                     11,                0.92587,                 1.0995,                0.92449,                0.88037,                  0.912,                0.96529,                  0.724,                 0.9023,                0.83691,                0.90404,               0.000802,               0.000802,               0.000802
                     12,                 0.9163,                 1.0997,                0.90723,                0.91302,                   0.96,                0.97712,                0.75202,                0.83764,                0.69125,                0.89593,              0.0007822,              0.0007822,              0.0007822
                     13,                0.89809,                   1.03,                0.90736,                0.90816,                0.94926,                 0.9689,                0.74382,                0.87209,                0.66899,                0.89995,              0.0007624,              0.0007624,              0.0007624
                     14,                0.90443,                0.95401,                0.91027,                0.93582,                  0.928,                0.97546,                0.75533,                0.80995,                0.63447,                 0.8806,              0.0007426,              0.0007426,              0.0007426
                     15,                0.91939,                0.89774,                0.93462,                0.96167,                  0.936,                0.97587,                0.74898,                0.83575,                0.59736,                0.88075,              0.0007228,              0.0007228,              0.0007228
                     16,                0.89288,                0.88751,                 0.9348,                0.93934,                  0.952,                 0.9828,                0.75053,                0.81825,                0.59069,                0.88704,               0.000703,               0.000703,               0.000703
                     17,                0.92507,                0.89345,                0.92419,                0.92769,                0.92375,                0.96466,                0.74623,                0.85634,                0.58621,                0.90102,              0.0006832,              0.0006832,              0.0006832
                     18,                 0.8784,                0.86863,                0.90697,                0.92707,                 0.9153,                0.97815,                0.76033,                0.79497,                0.56471,                0.87532,              0.0006634,              0.0006634,              0.0006634
                     19,                0.90313,                0.81997,                 0.9073,                0.94392,                0.94265,                0.97272,                0.76457,                0.79139,                0.54359,                0.87482,              0.0006436,              0.0006436,              0.0006436
                     20,                 0.8827,                0.78505,                0.92261,                 0.9586,                 0.9262,                0.96209,                0.76029,                0.81496,                0.53543,                0.88651,              0.0006238,              0.0006238,              0.0006238
                     21,                0.87964,                0.75345,                0.90661,                0.95748,                  0.928,                0.97774,                0.77348,                0.79433,                0.51813,                 0.8715,               0.000604,               0.000604,               0.000604
                     22,                0.85027,                0.70949,                0.88917,                0.95859,                0.92597,                0.97397,                0.77045,                0.80176,                 0.5075,                0.88076,              0.0005842,              0.0005842,              0.0005842
                     23,                0.83993,                0.68822,                0.90002,                0.97452,                0.91782,                 0.9784,                0.76634,                0.80957,                0.51379,                0.87855,              0.0005644,              0.0005644,              0.0005644
                     24,                0.81552,                0.67787,                0.88413,                0.94497,                  0.904,                0.97308,                0.77676,                0.77051,                0.52965,                0.87685,              0.0005446,              0.0005446,              0.0005446
                     25,                0.88141,                0.69727,                0.89593,                0.93635,                0.94143,                0.97741,                0.77547,                0.78909,                0.53649,                0.87758,              0.0005248,              0.0005248,              0.0005248
                     26,                0.82926,                 0.6725,                0.89577,                0.97195,                  0.912,                0.97574,                0.77234,                0.77823,                0.55242,                0.86749,               0.000505,               0.000505,               0.000505
                     27,                0.80238,                0.64122,                0.87238,                0.98294,                0.92183,                0.97485,                0.77552,                0.77227,                0.50137,                0.86845,              0.0004852,              0.0004852,              0.0004852
                     28,                0.79239,                 0.6451,                0.88791,                0.96637,                  0.928,                0.97041,                0.77112,                0.79367,                0.51354,                0.87744,              0.0004654,              0.0004654,              0.0004654
                     29,                0.78799,                0.61516,                0.88565,                0.95338,                   0.92,                0.97805,                0.77563,                0.78119,                0.49716,                0.86869,              0.0004456,              0.0004456,              0.0004456
                     30,                0.78067,                0.64805,                0.88656,                0.96458,                  0.928,                0.98437,                 0.7848,                0.77942,                0.49827,                0.87928,              0.0004258,              0.0004258,              0.0004258
                     31,                0.79597,                0.61831,                0.89186,                0.93004,                0.95714,                0.98353,                0.75169,                 0.8586,                0.52911,                0.89192,               0.000406,               0.000406,               0.000406
                     32,                0.79741,                0.60838,                0.90276,                0.95582,                  0.928,                 0.9755,                0.76322,                0.82472,                0.50923,                0.88717,              0.0003862,              0.0003862,              0.0003862
                     33,                 0.8028,                0.59784,                0.88296,                0.91845,                  0.928,                0.97171,                0.76131,                 0.7999,                0.49528,                0.87648,              0.0003664,              0.0003664,              0.0003664
                     34,                0.75828,                 0.5533,                0.86828,                0.94231,                  0.944,                0.97354,                0.76056,                0.79259,                0.48237,                0.87798,              0.0003466,              0.0003466,              0.0003466
                     35,                0.76979,                0.57155,                0.87532,                0.93992,                  0.952,                0.97441,                0.76521,                0.77735,                0.48098,                0.87467,              0.0003268,              0.0003268,              0.0003268
                     36,                0.76123,                0.56425,                0.88027,                 0.9082,                0.94977,                0.97367,                0.75675,                0.81465,                  0.475,                 0.8786,               0.000307,               0.000307,               0.000307
                     37,                0.79543,                0.56613,                 0.8829,                0.95967,                0.95175,                0.98204,                0.78456,                0.76833,                0.44988,                0.86973,              0.0002872,              0.0002872,              0.0002872
                     38,                0.73116,                0.54696,                0.86654,                0.96104,                   0.92,                0.98481,                0.78592,                 0.7686,                0.45385,                0.86711,              0.0002674,              0.0002674,              0.0002674
                     39,                0.76497,                0.54094,                0.87104,                0.92955,                0.94999,                0.98141,                0.77046,                0.77699,                0.45575,                0.86922,              0.0002476,              0.0002476,              0.0002476
