                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2335,                 4.5878,                 1.0513,                0.07574,                0.80822,                0.51515,                 0.3508,                 1.0348,                 4.3913,                0.90417,             0.00032381,             0.00032381,             0.00032381
                      2,                 1.0584,                 2.4952,                0.94172,                0.94266,                 0.1127,                0.74178,                0.51066,                 1.0177,                 3.8332,                0.90378,             0.00064413,             0.00064413,             0.00064413
                      3,                 1.0666,                 1.9835,                0.95706,                0.94733,                0.36961,                0.77757,                0.57054,                 1.0855,                 2.7988,                0.95088,             0.00095125,             0.00095125,             0.00095125
                      4,                 1.0246,                  1.761,                0.96557,                0.90686,                0.84932,                0.91757,                0.68108,                 1.0093,                 1.4638,                0.94548,              0.0009406,              0.0009406,              0.0009406
                      5,                 1.0138,                 1.6465,                0.93329,                0.88419,                0.88898,                0.93783,                0.69303,                0.98018,                 1.1037,                0.95052,              0.0009208,              0.0009208,              0.0009208
                      6,                  1.033,                 1.4918,                 0.9586,                0.81965,                0.90271,                0.92712,                0.69994,                0.94918,                 1.0171,                0.93389,               0.000901,               0.000901,               0.000901
                      7,                 1.0131,                 1.3128,                0.95589,                0.85164,                0.91781,                 0.9464,                0.72097,                0.91852,                0.92852,                0.92928,              0.0008812,              0.0008812,              0.0008812
                      8,                 0.9953,                 1.2309,                0.95253,                0.90904,                0.82138,                0.92509,                 0.7052,                0.89714,                0.95726,                0.92245,              0.0008614,              0.0008614,              0.0008614
                      9,                0.94949,                 1.0783,                0.92576,                0.88797,                 0.9229,                0.94732,                 0.7135,                0.89782,                0.84148,                0.92224,              0.0008416,              0.0008416,              0.0008416
                     10,                0.93861,                  1.089,                 0.9239,                 0.9131,                0.86365,                0.93559,                 0.7162,                 0.9089,                0.80577,                0.92762,              0.0008218,              0.0008218,              0.0008218
                     11,                0.92479,                 1.0226,                0.94017,                0.86531,                0.88006,                0.93646,                0.71935,                0.91179,                0.77213,                0.93274,               0.000802,               0.000802,               0.000802
                     12,                0.95096,                0.95346,                0.93263,                0.93727,                0.81507,                0.93733,                0.71886,                0.89672,                 0.6897,                0.91972,              0.0007822,              0.0007822,              0.0007822
                     13,                0.94699,                0.92306,                0.93851,                0.86427,                0.91589,                0.93387,                0.70358,                0.93692,                0.66404,                0.92827,              0.0007624,              0.0007624,              0.0007624
                     14,                0.93794,                0.88014,                0.92462,                0.94642,                0.85616,                 0.9442,                0.73559,                 0.8715,                0.63791,                0.92326,              0.0007426,              0.0007426,              0.0007426
                     15,                0.94462,                0.85536,                  0.919,                0.93896,                0.88356,                 0.9594,                 0.7357,                0.89767,                 0.6168,                0.91783,              0.0007228,              0.0007228,              0.0007228
                     16,                0.88734,                0.76278,                0.89809,                0.90029,                0.90411,                0.96146,                 0.7466,                0.88762,                  0.597,                0.91594,               0.000703,               0.000703,               0.000703
                     17,                0.91826,                0.76953,                0.92242,                 0.8853,                0.89726,                0.94809,                0.71263,                0.94073,                0.64417,                 0.9442,              0.0006832,              0.0006832,              0.0006832
                     18,                0.90289,                0.77484,                0.90212,                0.94006,                0.88356,                0.96873,                 0.7622,                0.88451,                0.58938,                0.90614,              0.0006634,              0.0006634,              0.0006634
                     19,                 0.8829,                0.71666,                0.91609,                0.90562,                0.92017,                0.95922,                0.75031,                0.86759,                0.62353,                0.90763,              0.0006436,              0.0006436,              0.0006436
                     20,                0.86012,                0.71873,                0.90411,                0.92971,                0.89041,                0.95941,                0.75691,                 0.8502,                0.60397,                0.90974,              0.0006238,              0.0006238,              0.0006238
                     21,                0.83152,                0.70845,                0.89374,                0.86582,                0.92813,                0.94836,                0.70843,                0.96749,                0.60782,                0.93709,               0.000604,               0.000604,               0.000604
                     22,                0.87285,                0.67155,                0.91577,                0.93719,                0.88356,                0.94263,                 0.7181,                0.96314,                0.63549,                0.93531,              0.0005842,              0.0005842,              0.0005842
