                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1664,                 4.0373,                0.99415,                0.03741,                0.73387,                0.63826,                 0.4402,                 1.0002,                 4.3264,                 0.8937,             0.00032759,             0.00032759,             0.00032759
                      2,                  1.067,                    2.2,                 0.9486,                0.88465,                0.52572,                 0.7684,                0.55505,                 0.9786,                 2.4621,                0.92915,             0.00064783,             0.00064783,             0.00064783
                      3,                 1.0525,                  1.739,                  0.956,                0.87184,                0.85036,                0.87562,                0.63485,                  0.999,                  1.224,                0.94788,             0.00095488,             0.00095488,             0.00095488
                      4,                0.99873,                 1.4896,                 0.9394,                0.84865,                0.83871,                0.89664,                0.64747,                0.94009,                 1.0846,                0.92827,              0.0009406,              0.0009406,              0.0009406
                      5,                0.99133,                  1.319,                0.94341,                0.88795,                0.86274,                0.92534,                0.67667,                0.93071,                0.91359,                0.94356,              0.0009208,              0.0009208,              0.0009208
                      6,                0.99102,                 1.1011,                 0.9445,                0.84052,                0.89255,                 0.9237,                 0.6809,                0.91523,                0.85707,                0.92908,               0.000901,               0.000901,               0.000901
                      7,                0.94753,                0.96181,                0.93629,                0.88639,                0.91235,                0.92963,                0.68493,                0.89532,                0.67393,                 0.9311,              0.0008812,              0.0008812,              0.0008812
                      8,                0.95091,                0.95085,                0.93635,                0.94221,                0.84677,                0.94628,                 0.6974,                0.89836,                 0.6528,                0.92409,              0.0008614,              0.0008614,              0.0008614
                      9,                0.93608,                0.83649,                0.92298,                0.89776,                0.92057,                0.93844,                0.71541,                0.85176,                0.60942,                0.92184,              0.0008416,              0.0008416,              0.0008416
                     10,                0.92328,                 0.8195,                0.93245,                0.90354,                0.87903,                0.94847,                0.70654,                0.85124,                0.64516,                0.91953,              0.0008218,              0.0008218,              0.0008218
                     11,                 0.9392,                0.76868,                0.93201,                0.89994,                0.91129,                0.93497,                 0.7021,                0.88218,                0.62736,                0.92947,               0.000802,               0.000802,               0.000802
                     12,                 0.9166,                0.72441,                0.91761,                0.90118,                0.88251,                0.93535,                0.69684,                0.92277,                0.64046,                0.93767,              0.0007822,              0.0007822,              0.0007822
                     13,                0.89412,                0.68667,                0.91809,                0.91032,                0.89919,                0.93731,                0.71067,                0.86995,                0.60405,                0.91778,              0.0007624,              0.0007624,              0.0007624
                     14,                0.89886,                0.67534,                0.91981,                0.92669,                0.91749,                0.94328,                0.71729,                 0.8628,                0.58085,                0.91557,              0.0007426,              0.0007426,              0.0007426
                     15,                0.87471,                0.67487,                0.92157,                0.89702,                0.91935,                0.94315,                0.70823,                0.88053,                0.57417,                0.91977,              0.0007228,              0.0007228,              0.0007228
                     16,                0.88248,                0.64821,                 0.9143,                0.92132,                0.91532,                 0.9473,                0.71668,                0.90023,                 0.5731,                0.93178,               0.000703,               0.000703,               0.000703
                     17,                0.88106,                0.62621,                0.91609,                0.92163,                0.90099,                0.95788,                0.71991,                0.87941,                0.55943,                0.92504,              0.0006832,              0.0006832,              0.0006832
                     18,                0.89073,                0.62939,                0.92164,                 0.9169,                0.91129,                0.95312,                0.72997,                  0.854,                0.58354,                0.92253,              0.0006634,              0.0006634,              0.0006634
                     19,                0.86606,                0.61735,                0.90576,                 0.9384,                0.92143,                0.95879,                0.72239,                0.87669,                0.58418,                0.92125,              0.0006436,              0.0006436,              0.0006436
